date,btc_close,strategy_equity,spot_hodl,lev3x_hodl
2023-02-17,24565.6015625,10259.316504395887,8543.64830759461,10606.11964965683
2023-02-18,24641.27734375,10320.125756085374,8569.967518982841,10677.364313054433
2023-02-19,24327.642578125,10034.321304610497,8460.888768042529,10342.51326034226
2023-02-20,24829.1484375,10474.300044755972,8635.307036441,10857.996289204875
2023-02-21,24436.353515625,10117.971085243174,8498.697246488533,10440.518091825636
2023-02-22,24188.84375,9891.090822647524,8412.616049379842,10174.703146055115
2023-02-23,23947.4921875,9669.759180316727,8328.676608155809,9915.38901343568
2023-02-24,23198.126953125,8996.220096408299,8068.05555232091,9126.264595933893
2023-02-25,23175.375,8969.76692537282,8060.142671159978,9095.271824047053
2023-02-26,23561.212890625,9307.07719615215,8194.332881518038,9490.467555527865
2023-02-27,23522.87109375,9266.647772426873,8180.998022725844,9443.10008093083
2023-02-28,23147.353515625,8926.049390374654,8050.397104500531,9044.05196886084
2023-03-01,23646.55078125,9364.28817617935,8224.012469170593,9557.496451648774
2023-03-02,23475.466796875,9205.65888931876,8164.511325270526,9371.644959755831
2023-03-03,22362.6796875,8208.700467458433,7777.49610483978,8203.599551969237
2023-03-04,22353.349609375,8194.419657838118,7774.251205423026,8186.868027634093
2023-03-05,22435.513671875,8261.596295912685,7802.826970267914,8265.572777895517
2023-03-06,22429.7578125,8250.478065719326,7800.825145151486,8252.546559915598
2023-03-07,22219.76953125,8057.5383337993835,7727.793511093929,8026.496643582941
2023-03-08,21718.080078125,7604.960413422161,7553.311390791508,7496.252302423965
2023-03-09,20363.021484375,6392.783230117553,7082.0367903414,6076.054667962336
2023-03-10,20187.244140625,6230.852798758934,7020.903347237134,5886.335525637023
2023-03-11,20632.41015625,6621.779738902963,7175.72723242947,6344.349026704845
2023-03-12,22163.94921875,7979.758618487241,7708.379815190465,7935.369233154159
2023-03-13,24197.533203125,9784.28642020766,8415.63814640834,10049.570152476017
2023-03-14,24746.07421875,10266.174149080074,8606.41472917865,10614.154127530688
2023-03-15,24375.9609375,9930.060283736924,8477.693366466456,10220.360115364281
2023-03-16,25052.7890625,10526.111162297799,8713.08680676046,10918.698658120215
2023-03-17,27423.9296875,12630.385445269965,9537.743656148376,13384.085236993425
2023-03-18,26965.87890625,12215.267590423744,9378.438589994697,12897.729443801396
2023-03-19,28038.67578125,13160.02645420966,9751.545643048838,14008.274211885071
2023-03-20,27767.236328125,12973.166449044465,9657.14196160812,13716.371739797474
2023-03-21,28175.81640625,13240.414174061272,9799.241656749244,14133.851507729769
2023-03-22,27307.4375,12654.946441984726,9497.228943815759,13219.26586287988
2023-03-23,28333.97265625,13334.898811295992,9854.246675625342,14281.450236300563
2023-03-24,27493.28515625,12767.88911620159,9561.864731779306,13395.698726503859
2023-03-25,27494.70703125,12763.329626357146,9562.359244397141,13388.576141037405
2023-03-26,27994.330078125,13091.421924587223,9736.122691142324,13901.103970850927
2023-03-27,27139.888671875,12515.296714178568,9438.95728870454,13001.11270197774
2023-03-28,27268.130859375,12595.48675973833,9483.558522890035,13126.38120186362
2023-03-29,28348.44140625,13311.353173384505,9859.278749077155,14244.668529550816
2023-03-30,28033.5625,13095.42630230543,9749.767299596238,13907.359390538426
2023-03-31,28478.484375,13386.886310603377,9904.506275341831,14362.662262127396
2023-04-01,28411.03515625,13336.143749589542,9881.048172671075,14283.395010759725
2023-04-02,28199.30859375,13189.079808710254,9807.411983352702,14053.65977201959
