date,pw5_btc,pw5_strategy,pw5_lev
2019-09-02,10346.7607421875,4109.461592026866,1.5
2019-09-03,10623.5400390625,4109.461592026866,1.5
2019-09-04,10594.4931640625,4109.461592026866,1.5
2019-09-05,10575.533203125,4109.461592026866,1.5
2019-09-06,10353.302734375,4109.461592026866,1.5
2019-09-07,10517.2548828125,4109.461592026866,1.5
2019-09-08,10441.2763671875,4109.461592026866,1.5
2019-09-09,10334.974609375,4109.461592026866,1.5
2019-09-10,10115.9755859375,4109.461592026866,1.5
2019-09-11,10178.3720703125,4109.461592026866,1.5
2019-09-12,10410.126953125,4109.461592026866,1.5
2019-09-13,10360.546875,4109.461592026866,1.5
2019-09-14,10358.048828125,4109.461592026866,1.5
2019-09-15,10347.712890625,4109.461592026866,1.5
2019-09-16,10276.7939453125,4109.461592026866,1.5
2019-09-17,10241.2724609375,4109.461592026866,1.5
2019-09-18,10198.248046875,4109.461592026866,1.5
2019-09-19,10266.4150390625,4109.461592026866,1.5
2019-09-20,10181.6416015625,4109.461592026866,1.5
2019-09-21,10019.716796875,4109.461592026866,1.5
2019-09-22,10070.392578125,4109.461592026866,1.5
2019-09-23,9729.32421875,4109.461592026866,1.5
2019-09-24,8620.56640625,4109.461592026866,1.5
2019-09-25,8486.9931640625,4109.461592026866,1.5
2019-09-26,8118.9677734375,4109.461592026866,1.5
2019-09-27,8251.845703125,4109.461592026866,1.5
2019-09-28,8245.9150390625,4109.461592026866,1.5
2019-09-29,8104.185546875,4109.461592026866,1.5
2019-09-30,8293.8681640625,4109.461592026866,1.5
2019-10-01,8343.2763671875,4109.461592026866,1.5
2019-10-02,8393.0419921875,4109.461592026866,1.5
2019-10-03,8259.9921875,4109.461592026866,1.5
2019-10-04,8205.939453125,4109.461592026866,1.5
2019-10-05,8151.50048828125,4109.461592026866,1.5
2019-10-06,7988.15576171875,4109.461592026866,1.5
2019-10-07,8245.623046875,4109.461592026866,1.5
2019-10-08,8228.783203125,4109.461592026866,1.5
2019-10-09,8595.740234375,4109.461592026866,1.5
2019-10-10,8586.4736328125,4109.461592026866,1.5
2019-10-11,8321.7568359375,4109.461592026866,1.5
2019-10-12,8336.5556640625,4109.461592026866,1.5
2019-10-13,8321.005859375,4109.461592026866,1.5
2019-10-14,8374.6865234375,4109.461592026866,1.5
2019-10-15,8205.369140625,4109.461592026866,1.5
2019-10-16,8047.52685546875,4109.227878571395,1.5
2019-10-17,8103.9111328125,4112.36165285922,1.5
2019-10-18,7973.20751953125,4104.63102271028,1.5
2019-10-19,7988.560546875,4105.383576606635,1.5
2019-10-20,8222.078125,4118.803778360452,1.5
2019-10-21,8243.720703125,4119.917203954156,1.5
2019-10-22,8078.203125,4110.162634318152,1.5
2019-10-23,7514.671875,4077.2999369808786,1.5
2019-10-24,7493.48876953125,4075.938978360619,1.5
2019-10-25,8660.7001953125,4143.583556333899,1.5
2019-10-26,9244.97265625,4177.008364815794,1.5
