date,btc,v4_mechanical,v7b_balanced
2019-10-01,8343.2763671875,0.0,1250.5697775271192
2019-10-02,8393.0419921875,0.0,1250.5697775271192
2019-10-03,8259.9921875,0.0,1250.5697775271192
2019-10-04,8205.939453125,0.0,1250.5697775271192
2019-10-05,8151.50048828125,0.0,1250.5697775271192
2019-10-06,7988.15576171875,0.0,1250.5697775271192
2019-10-07,8245.623046875,0.0,1250.5697775271192
2019-10-08,8228.783203125,0.0,1250.5697775271192
2019-10-09,8595.740234375,0.0,1250.5697775271192
2019-10-10,8586.4736328125,0.0,1250.5697775271192
2019-10-11,8321.7568359375,0.0,1250.5697775271192
2019-10-12,8336.5556640625,0.0,1250.5697775271192
2019-10-13,8321.005859375,0.0,1250.5697775271192
2019-10-14,8374.6865234375,0.0,1250.5697775271192
2019-10-15,8205.369140625,0.0,1250.5697775271192
2019-10-16,8047.52685546875,0.0,1250.4275326235143
2019-10-17,8103.9111328125,0.0,1252.3348401022113
2019-10-18,7973.20751953125,0.0,1247.6297505380403
2019-10-19,7988.560546875,0.0,1248.0877770398902
2019-10-20,8222.078125,0.0,1256.2557077265776
2019-10-21,8243.720703125,0.0,1256.93337138924
2019-10-22,8078.203125,0.0,1250.9964525465193
2019-10-23,7514.671875,0.0,1230.9952454892486
2019-10-24,7493.48876953125,0.0,1230.1669259243386
2019-10-25,8660.7001953125,0.0,1271.337411610877
2019-10-26,9244.97265625,0.0,1291.6807360931848
2019-10-27,9551.71484375,0.0,1316.1296054323243
2019-10-28,9256.1484375,0.0,1271.818430789803
2019-10-29,9427.6875,0.0,1296.8760507114514
2019-10-30,9205.7265625,0.0,1263.4993116482035
2019-10-31,9199.5849609375,0.0,1262.1772274276263
2019-11-01,9261.1044921875,0.0,1270.9017136051016
2019-11-02,9324.7177734375,0.0,1279.4542612179407
2019-11-03,9235.3544921875,0.0,1255.5631429346681
2019-11-04,9412.6123046875,0.0,1326.6345697488132
2019-11-05,9342.52734375,0.0,1296.9371865493622
2019-11-06,9360.8798828125,0.0,1303.27054832245
2019-11-07,9267.5615234375,0.0,1264.1161090106204
2019-11-08,8804.880859375,0.0,1074.5251913794725
2019-11-09,8813.58203125,0.0,1076.9930959962512
2019-11-10,9055.5263671875,0.0,1174.4640569490296
2019-11-11,8757.7880859375,0.0,1052.0830447122812
2019-11-12,8815.662109375,0.0,1074.5856890796722
2019-11-13,8808.2626953125,0.0,1070.4942187447953
2019-11-14,8708.0947265625,0.0,1028.617358334333
2019-11-15,8491.9921875,0.0,939.5305138932102
2019-11-16,8550.7607421875,0.0,962.4300056428433
2019-11-17,8577.9755859375,0.0,972.4699221578564
2019-11-18,8309.2861328125,0.0,861.9793901124463
2019-11-19,8206.1455078125,0.0,818.9527044738677
2019-11-20,8027.26806640625,0.0,745.0896635748156
2019-11-21,7642.75,0.0,587.4873760666848
2019-11-22,7296.57763671875,0.0,444.06452159442745
2019-11-23,7397.796875,0.0,444.0140118858101
2019-11-24,7047.9169921875,0.0,439.20741129851524
2019-11-25,7146.1337890625,0.0,440.51932000129653
2019-11-26,7218.37109375,0.0,441.4761740281595
2019-11-27,7531.66357421875,0.0,445.72343453724994
2019-11-28,7463.10595703125,0.0,444.75668372744934
2019-11-29,7761.24365234375,0.0,448.7202954609896
2019-11-30,7569.6298828125,0.0,442.1737188415986
2019-12-01,7424.29248046875,0.0,432.84671364406313
2019-12-02,7321.98828125,0.0,426.2416141172786
2019-12-03,7320.1455078125,0.0,425.98633578499977
2019-12-04,7252.03466796875,0.0,421.54379545673453
2019-12-05,7448.3076171875,0.0,433.8082314492708
2019-12-06,7546.99658203125,0.0,439.90288203673504
2019-12-07,7556.23779296875,0.0,440.17323336274364
2019-12-08,7564.34521484375,0.0,440.8056569916967
2019-12-09,7400.8994140625,0.0,422.8596113664433
2019-12-10,7278.11962890625,0.0,409.3227678947858
2019-12-11,7217.42724609375,0.0,402.5136152992522
2019-12-12,7243.13427734375,0.0,405.0629838494655
2019-12-13,7269.6845703125,0.0,407.70283726114286
2019-12-14,7124.673828125,0.0,391.76277601460697
2019-12-15,7152.3017578125,0.0,394.523180875605
2019-12-16,6932.48046875,0.0,370.48539177612304
2019-12-17,6640.51513671875,0.0,338.4936798966723
2019-12-18,7276.802734375,0.0,435.50471545025937
2019-12-19,7202.84423828125,0.0,423.859290688713
2019-12-20,7218.81640625,0.0,425.97153713724043
2019-12-21,7191.15869140625,0.0,421.4101599127721
2019-12-22,7511.5888671875,0.0,470.08770171246863
2019-12-23,7355.62841796875,0.0,445.88986610682434
2019-12-24,7322.5322265625,0.0,440.49043206311364
2019-12-25,7275.15576171875,0.0,432.90844738596894
2019-12-26,7238.966796875,0.0,427.0396883389365
2019-12-27,7290.08837890625,0.0,434.52613809542834
2019-12-28,7317.990234375,0.0,438.4589440069507
2019-12-29,7422.65283203125,0.0,454.1304970716534
2019-12-30,7292.9951171875,0.0,433.959565717828
2019-12-31,7193.59912109375,0.0,418.42290704733625
2020-01-01,7200.17431640625,0.0,419.0983754565047
2020-01-02,6985.47021484375,0.0,385.9303950134411
2020-01-03,7344.88427734375,0.0,440.5796946804086
2020-01-04,7410.65673828125,0.0,450.30203437139414
2020-01-05,7411.3173828125,0.0,450.0629506737718
2020-01-06,7769.21923828125,0.0,504.46142368990854
2020-01-07,8163.6923828125,0.0,564.4367974093831
2020-01-08,8079.86279296875,0.0,551.2409514127382
2020-01-09,7879.0712890625,0.0,520.1604323227417
2020-01-10,8166.55419921875,0.0,563.7673434483461
2020-01-11,8037.53759765625,0.0,543.6603233403415
2020-01-12,8192.494140625,0.0,566.9909646953214
2020-01-13,8144.1943359375,0.0,559.2278331508691
2020-01-14,8827.7646484375,0.0,663.401420929319
2020-01-15,8807.0107421875,0.0,659.8220883377206
2020-01-16,8723.7861328125,0.0,646.68924375043
2020-01-17,8929.0380859375,0.0,677.6807257400048
2020-01-18,8942.80859375,0.0,679.3770167927382
2020-01-19,8706.2451171875,0.0,642.7858140616898
2020-01-20,8657.642578125,0.0,634.9528018982733
2020-01-21,8745.89453125,0.0,648.052974081449
2020-01-22,8680.8759765625,0.0,637.7074254174157
2020-01-23,8406.515625,0.0,595.3474723683357
2020-01-24,8445.4345703125,0.0,600.9140260909934
2020-01-25,8367.84765625,0.0,588.660023395714
2020-01-26,8596.830078125,0.0,623.2972538277886
2020-01-27,8909.8193359375,0.0,670.7722426965655
2020-01-28,9358.58984375,0.0,738.9996750257963
2020-01-29,9316.6298828125,0.0,732.1526590418082
2020-01-30,9508.9931640625,0.0,761.1456977074014
2020-01-31,9350.529296875,0.0,736.4733072568902
2020-02-01,9392.875,0.0,742.5206329082977
2020-02-02,9344.365234375,0.0,734.6702957541613
2020-02-03,9293.521484375,0.0,726.4652181754245
2020-02-04,9180.962890625,0.0,708.8236131202871
2020-02-05,9613.423828125,0.0,774.54416420899
2020-02-06,9729.8017578125,0.0,791.7532886336985
2020-02-07,9795.943359375,0.0,799.4887585170756
2020-02-08,9865.119140625,0.0,807.593045392712
2020-02-09,10116.673828125,0.0,838.0096721417224
2020-02-10,9856.611328125,0.0,805.8183974628954
2020-02-11,10208.236328125,0.0,848.479389614786
2020-02-12,10326.0546875,0.0,862.5201764884216
2020-02-13,10214.3798828125,0.0,848.352101075745
2020-02-14,10312.1162109375,0.0,857.6188486056737
2020-02-15,9889.4248046875,0.0,815.9413851934075
2020-02-16,9934.43359375,0.0,820.0565165897971
2020-02-17,9690.142578125,0.0,795.7620960948888
2020-02-18,10141.99609375,0.0,848.0919247991003
2020-02-19,9633.38671875,0.0,788.4528328955707
2020-02-20,9608.4755859375,0.0,785.2121847229675
2020-02-21,9686.44140625,0.0,793.9639127422113
2020-02-22,9663.181640625,0.0,790.913894813451
2020-02-23,9924.515625,0.0,820.9216839554801
2020-02-24,9650.1748046875,0.0,794.9714413772474
2020-02-25,9341.705078125,0.0,760.1028329233214
2020-02-26,8820.5224609375,0.0,701.4237148393134
2020-02-27,8784.494140625,0.0,697.0926240600145
2020-02-28,8672.455078125,0.0,684.2506014030184
2020-02-29,8599.5087890625,0.0,675.7901891313056
2020-03-01,8562.4541015625,0.0,671.351586909156
2020-03-02,8869.669921875,0.0,705.4677236399555
2020-03-03,8787.7861328125,0.0,695.9998084804832
2020-03-04,8755.24609375,0.0,692.0604566671826
2020-03-05,9078.7626953125,0.0,727.9955745257779
2020-03-06,9122.5458984375,0.0,732.5935824660766
2020-03-07,8909.9541015625,0.0,708.4796959139721
2020-03-08,8108.1162109375,0.0,618.3856122173079
2020-03-09,7923.64453125,0.0,597.3192269167292
2020-03-10,7909.7294921875,0.0,594.9369658044326
2020-03-11,7911.43017578125,0.0,594.838570698413
2020-03-12,4970.7880859375,0.0,164.1614590165882
2020-03-13,5563.70703125,0.0,164.1614590165882
2020-03-14,5200.3662109375,0.0,164.1614590165882
2020-03-15,5392.31494140625,0.0,164.1614590165882
2020-03-16,5014.47998046875,0.0,164.1614590165882
2020-03-17,5225.62939453125,0.0,164.1614590165882
2020-03-18,5238.4384765625,0.0,164.1614590165882
2020-03-19,6191.19287109375,0.0,164.1614590165882
2020-03-20,6198.7783203125,0.0,164.1614590165882
2020-03-21,6185.06640625,0.0,164.1614590165882
2020-03-22,5830.2548828125,0.0,164.1614590165882
2020-03-23,6416.31494140625,0.0,164.14278662314555
2020-03-24,6734.8037109375,0.0,165.95671415809997
2020-03-25,6681.06298828125,0.0,165.16859897142123
2020-03-26,6716.4404296875,0.0,165.6402732135565
2020-03-27,6469.79833984375,0.0,162.12584295893691
2020-03-28,6242.19384765625,0.0,158.88152880753313
2020-03-29,5922.04296875,0.0,154.3301653458251
2020-03-30,6429.841796875,0.0,161.4400662510713
2020-03-31,6438.64453125,0.0,161.56398281253536
2020-04-01,6606.7763671875,0.0,169.3366842135113
2020-04-02,6793.62451171875,0.0,177.98233629474433
2020-04-03,6733.38720703125,0.0,175.06985878245303
2020-04-04,6867.52734375,0.0,181.24872531177522
2020-04-05,6791.12939453125,0.0,177.5794216947757
2020-04-06,7271.78125,0.0,199.86834948310906
2020-04-07,7176.41455078125,0.0,192.77085759593595
2020-04-08,7334.0986328125,0.0,204.08699419216597
2020-04-09,7302.08935546875,0.0,201.59792036959882
2020-04-10,6865.4931640625,0.0,169.67248683462097
2020-04-11,6859.0830078125,0.0,169.05619325624647
2020-04-12,6971.091796875,0.0,177.05600152816214
2020-04-13,6845.03759765625,0.0,167.73230438364678
2020-04-14,6842.427734375,0.0,167.39296031268867
2020-04-15,6642.10986328125,0.0,152.6687734420576
2020-04-16,7116.80419921875,0.0,187.06170521229768
2020-04-17,7096.1845703125,0.0,185.40606733481053
2020-04-18,7257.6650390625,0.0,197.00017434339577
2020-04-19,7189.4248046875,0.0,191.87666630716473
2020-04-20,6881.95849609375,0.0,169.34896425641392
2020-04-21,6880.3232421875,0.0,169.07972498040058
